IncidentNumber,CalendarYear,MonthText,Type,IgnitionSourcePower,IgnitionSource,ItemFirstIgnited,VehiclePowerType,VehicleManufacturer,IncGeo_BoroughName,IncGeo_WardName,IncGeo_WardCode,Lithium batteries mentioned in report?
167900-27102023,2023,Oct,Car ,Electricity,Vehicle electrical fault,Wiring insulation,Petrol/Electric Hybrid,Toyota,EALING,NORTHOLT MANDEVILLE,E05013531,No
168581-28102023,2023,Oct,e-scooter,Electricity,E-Scooter,"Paint, varnish, resins, creosote",NULL,NULL,BRENT,DOLLIS HILL,E05013500,No
169054-29102023,2023,Oct,Other Lithium Battery,Electricity,Other,Other item,NULL,NULL,NEWHAM,PLAISTOW NORTH,E05013918,Yes
169240-29102023,2023,Oct,e-bike,Electricity,"Batteries, generators",Other wooden item,Electric batteries,NULL,NEWHAM,EAST HAM SOUTH,E05013910,No
169316-30102023,2023,Oct,e-scooter,Electricity,E-Scooter,Gases,NULL,NULL,BARNET,COLINDALE SOUTH,E05013633,No
170855-01112023,2023,Nov,e-cigarette,Electricity,e-Smoking equipment,Other paper product,NULL,NULL,GREENWICH,WEST THAMESMEAD,E05014091,No
171264-02112023,2023,Nov,e-bike,Electricity,"Batteries, generators",Other item,NULL,NULL,NEWHAM,CANNING TOWN NORTH,E05013906,No
171976-03112023,2023,Nov,e-bike,Electricity,E-Bike,Other item,Electric batteries,NULL,ISLINGTON,ST. MARY'S & ST. JAMES',E05013710,No
172416-04112023,2023,Nov,Bus/coach ,Electricity,Other lights,Wiring insulation,Electric batteries,Other,ENFIELD,CARTERHATCH,E05013677,No
172764-04112023,2023,Nov,e-bike,Electricity,E-Bike,Other item,NULL,NULL,WALTHAM FOREST,HIGH STREET,E05013891,No
173446-05112023,2023,Nov,e-bike,Not applicable,Matches,Clothing,Electric batteries,Other,WANDSWORTH,TRINITY,E05014025,No
174024-06112023,2023,Nov,e-bike,Electricity,E-Bike,None,Electric batteries,UNKNOWN,ISLINGTON,CALEDONIAN,E05013700,No
174443-07112023,2023,Nov,Car ,Electricity,Vehicle electrical fault,Rubber - raw material only,Petrol/Electric Hybrid,Mercedes,ENFIELD,BUSH HILL PARK,E05013676,No
176369-10112023,2023,Nov,Car ,Unknown,Unknown vehicle fault,Rubber - raw material only,Petrol/Electric Hybrid,Vauxhall/GM,ENFIELD,WINCHMORE HILL,E05013696,No
180652-17112023,2023,Nov,e-bike,Not applicable,Cigarette,Rubbish/Waste material,Electric batteries,Other,WESTMINSTER,BAYSWATER,E05013793,No
181221-18112023,2023,Nov,e-bike,Not applicable,Not known,Not known,Electric batteries,UNKNOWN,WESTMINSTER,BAYSWATER,E05013793,No
181419-19112023,2023,Nov,e-bike,Electricity,"Batteries, generators",Gases,NULL,NULL,EALING,WALPOLE,E05013541,Yes
181657-19112023,2023,Nov,Car ,Other,"Wiring, cabling, plugs",Plastic - raw material only,Petrol/Electric Hybrid,Toyota,BARNET,EAST FINCHLEY,E05013636,No
182446-21112023,2023,Nov,e-cigarette,Electricity,e-Smoking equipment,Other paper product,NULL,NULL,GREENWICH,WEST THAMESMEAD,E05014091,No
183059-22112023,2023,Nov,e-bike,Electricity,E-Bike,Other item,NULL,NULL,BARNET,MILL HILL,E05013645,Yes
183060-22112023,2023,Nov,Other Lithium Battery,Electricity,"Batteries, generators",Plastic - raw material only,NULL,NULL,WESTMINSTER,WEST END,E05013808,Yes
183560-23112023,2023,Nov,Car ,Not applicable,Other non-electrical vehicle fault,Wiring insulation,Petrol/Electric Hybrid,Toyota,SOUTHWARK,CAMBERWELL GREEN,E05011096,No
183630-23112023,2023,Nov,Other Lithium Battery,Unknown,Not known,Not known,NULL,NULL,SOUTHWARK,SOUTH BERMONDSEY,E05011116,Yes
183768-23112023,2023,Nov,Other Lithium Battery,Electricity,"Batteries, generators",Other item,NULL,NULL,GREENWICH,GREENWICH PENINSULA,E05014082,Yes
184516-24112023,2023,Nov,Other Lithium Battery,Electricity,"Batteries, generators",Plastic - raw material only,NULL,NULL,NEWHAM,GREEN STREET WEST,E05013914,Yes
184755-25112023,2023,Nov,e-bike,Electricity,E-Bike,Other item,Electric batteries,Other,HOUNSLOW,HESTON WEST,E05013619,Yes
184819-25112023,2023,Nov,e-bike,Electricity,E-Bike,Other item,NULL,NULL,HACKNEY,HACKNEY WICK,E05009374,Yes
185830-26112023,2023,Nov,Other Lithium Battery,Electricity,"Batteries, generators",Other item,NULL,NULL,REDBRIDGE,CLEMENTSWOOD,E05011240,Yes
185950-26112023,2023,Nov,Car ,Electricity,Vehicle electrical fault,Wiring insulation,Electric batteries,Toyota,CROYDON,BROAD GREEN,E05011465,No
186461-27112023,2023,Nov,e-cigarette,Electricity,e-Smoking equipment,Household paper/Cardboard,NULL,NULL,GREENWICH,WEST THAMESMEAD,E05014091,No
186477-27112023,2023,Nov,Other Lithium Battery,Electricity,"Batteries, generators",Bed/mattress,NULL,NULL,MERTON,WIMBLEDON TOWN & DUNDONALD,E05013829,Yes
187742-30112023,2023,Nov,Other Lithium Battery,Electricity,"Wiring, cabling, plugs",Gases,NULL,NULL,NEWHAM,FOREST GATE NORTH,E05013911,Yes
188033-30112023,2023,Nov,Car ,Not applicable,"Engine, fuel line or pump",None,Petrol/Electric Hybrid,Toyota,TOWER HAMLETS,ST. DUNSTAN'S,E05009329,No
188034-30112023,2023,Nov,Car ,Not applicable,"Engine, fuel line or pump",None,Petrol/Electric Hybrid,Toyota,TOWER HAMLETS,ST. DUNSTAN'S,E05009329,No
189322-02122023,2023,Dec,Car ,Unknown,Unknown vehicle fault,Plastic - raw material only,Petrol/Electric Hybrid,Toyota,HARROW,HARROW ON THE HILL,E05013547,No
189566-02122023,2023,Dec,e-bike,Electricity,E-Bike,Upholstered furniture,NULL,NULL,HACKNEY,LONDON FIELDS,E05009381,No
189978-03122023,2023,Dec,Motor Home ,Electricity,"Batteries, generators",Wiring insulation,Electric batteries,NULL,HARINGEY,SOUTH TOTTENHAM,E05013599,No
190077-03122023,2023,Dec,Other road vehicle,Electricity,"Batteries, generators",Wiring insulation,Electric batteries,UNKNOWN,HILLINGDON,HEATHROW VILLAGES,E05013570,No
190505-04122023,2023,Dec,e-cigarette,Electricity,e-Smoking equipment,"Paper, cardboard",NULL,NULL,GREENWICH,WEST THAMESMEAD,E05014091,No
191068-05122023,2023,Dec,e-bike,Electricity,"Batteries, generators",None,Electric batteries,UNKNOWN,SOUTHWARK,LONDON BRIDGE & WEST BERMONDSEY,E05011104,No
191109-05122023,2023,Dec,e-bike,Electricity,"Batteries, generators",Other item,Electric batteries,UNKNOWN,WANDSWORTH,BALHAM,E05014009,No
191410-06122023,2023,Dec,e-cigarette,Electricity,e-Smoking equipment,Household paper/Cardboard,NULL,NULL,GREENWICH,WEST THAMESMEAD,E05014091,No
192283-07122023,2023,Dec,Car ,Electricity,Vehicle electrical fault,Plastic - raw material only,Petrol/Electric Hybrid,Toyota,ISLINGTON,CALEDONIAN,E05013700,No
192875-08122023,2023,Dec,Car ,Electricity,Vehicle electrical fault,Plastic - raw material only,Petrol/Electric Hybrid,Toyota,BARKING AND DAGENHAM,HEATH,E05014063,Yes
193322-09122023,2023,Dec,Car ,Electricity,Vehicle electrical fault,Capacitor,Petrol/Electric Hybrid,BMW,HACKNEY,HACKNEY CENTRAL,E05009372,No
193727-09122023,2023,Dec,Car ,Electricity,Vehicle electrical fault,Other item,Petrol/Electric Hybrid,Hyundai,BRENT,BARNHILL,E05013497,No
194270-10122023,2023,Dec,Car ,Not applicable,Liquids; petrol/oil related,Petrol/Oil products,Petrol/Electric Hybrid,Other,WALTHAM FOREST,LEA BRIDGE,E05013895,No
194418-11122023,2023,Dec,e-bike,Electricity,Other appliance or equipment,Internal Fittings,NULL,NULL,HARINGEY,HARRINGAY,E05013590,Yes
194792-11122023,2023,Dec,e-bike,Electricity,"Batteries, generators",Not known,Electric batteries,NULL,ENFIELD,LOWER EDMONTON,E05013685,No
195161-12122023,2023,Dec,Other road vehicle,Electricity,"Batteries, generators",Rubbish/Waste material,Diesel/Electric Hybrid,Mercedes,LAMBETH,OVAL,E05014108,Yes
195445-12122023,2023,Dec,Car ,Electricity,"Batteries, generators",Other item,Petrol/Electric Hybrid,Audi,BRENT,QUEENSBURY,E05013508,No
195806-13122023,2023,Dec,Car ,Electricity,Vehicle electrical fault,Wiring insulation,Petrol/Electric Hybrid,Toyota,REDBRIDGE,WANSTEAD PARK,E05011254,No
196113-14122023,2023,Dec,e-bike,Electricity,E-Bike,Wiring insulation,NULL,NULL,HACKNEY,VICTORIA,E05009386,Yes
196325-14122023,2023,Dec,e-bike,Electricity,E-Bike,Other item,NULL,NULL,WANDSWORTH,TOOTING BROADWAY,E05014024,Yes
197325-16122023,2023,Dec,e-bike,Not applicable,Cigarette,Rubber - raw material only,Electric batteries,UNKNOWN,TOWER HAMLETS,SPITALFIELDS & BANGLATOWN,E05009333,No
197756-16122023,2023,Dec,Car ,Electricity,Vehicle electrical fault,Wiring insulation,Petrol/Electric Hybrid,Toyota,REDBRIDGE,ALDBOROUGH,E05011234,No
198577-18122023,2023,Dec,Other Lithium Battery,Other,Not known,Other item,NULL,NULL,WALTHAM FOREST,FOREST,E05013887,Yes
198660-18122023,2023,Dec,Other Lithium Battery,Electricity,"Batteries, generators",Unspecified internal fitting/part of structure,NULL,NULL,WESTMINSTER,BAYSWATER,E05013793,Yes
199510-19122023,2023,Dec,e-bike,Electricity,E-Bike,Internal Fittings,NULL,NULL,NEWHAM,GREEN STREET EAST,E05013913,Yes
200652-21122023,2023,Dec,Car ,Electricity,"Wiring, cabling, plugs",External fittings,Petrol/Electric Hybrid,Toyota,HILLINGDON,HEATHROW VILLAGES,E05013570,No
200916-22122023,2023,Dec,Van ,Electricity,"Batteries, generators",Plastic - raw material only,Diesel/Electric Hybrid,Mercedes,SOUTHWARK,BOROUGH & BANKSIDE,E05011095,No
201368-23122023,2023,Dec,Other Lithium Battery,Electricity,"Batteries, generators",Plastic - raw material only,NULL,NULL,CAMDEN,KILBURN,E05013665,Yes
201495-23122023,2023,Dec,e-bike,Electricity,E-Bike,Wiring insulation,NULL,NULL,HILLINGDON,WOOD END,E05013582,No
204370-28122023,2023,Dec,Other Lithium Battery,Electricity,"Batteries, generators",Plastic - raw material only,NULL,NULL,EALING,NORTH ACTON,E05013527,Yes
204633-29122023,2023,Dec,Other Lithium Battery,Electricity,"Batteries, generators",Wiring insulation,NULL,NULL,LEWISHAM,EVELYN,E05013721,Yes
000343-01012024,2024,Jan,Other Lithium Battery,Electricity,"Batteries, generators",Printed circuit board,NULL,NULL,BROMLEY,BROMLEY COMMON & HOLWOOD,E05013990,Yes
000921-02012024,2024,Jan,Car ,Electricity,"Batteries, generators",Unspecified internal fitting/part of structure,Electric batteries,Jaguar/Daimler,ISLINGTON,CALEDONIAN,E05013700,No
001595-02012024,2024,Jan,Car ,Not applicable,Liquids; petrol/oil related,Rubber - raw material only,Petrol/Electric Hybrid,Toyota,TOWER HAMLETS,BLACKWALL & CUBITT TOWN,E05009318,No
002016-03012024,2024,Jan,Car ,Electricity,Vehicle electrical fault,Other item,Petrol/Electric Hybrid,Toyota,GREENWICH,BLACKHEATH WESTCOMBE,E05014073,No
