IncidentNumber,CalendarYear,MonthText,Type,IgnitionSourcePower,IgnitionSource,ItemFirstIgnited,VehiclePowerType,VehicleManufacturer,IncGeo_BoroughName,IncGeo_WardName,IncGeo_WardCode,Lithium batteries mentioned in report?
000285-01012017,2017,Jan,Other Lithium Battery,Electricity,Other appliance or equipment,Other item,NULL,NULL,BARKING AND DAGENHAM,Thames View,E05014068,Yes
000641-02012017,2017,Jan,Other Lithium Battery,Unknown,Not known,Plastic - raw material only,NULL,NULL,HOUNSLOW,Osterley & Spring Grove,E05013626,Yes
005511-13012017,2017,Jan,Car ,Electricity,"Batteries, generators",Rubber - raw material only,NULL,Mercedes,NEWHAM,Plaistow West & Canning Town East,E05013920,No
006064-15012017,2017,Jan,Car ,Electricity,"Batteries, generators",Plastic - raw material only,NULL,Mercedes,HAMMERSMITH AND FULHAM,Ravenscourt,E05013746,No
007635-18012017,2017,Jan,e-scooter,Electricity,"Batteries, generators",Wiring insulation,NULL,NULL,ISLINGTON,Mildmay,E05013709,No
013234-31012017,2017,Jan,Other Lithium Battery,Electricity,"Batteries, generators",Other item,NULL,NULL,GREENWICH,West Thamesmead,E05014091,Yes
014248-03022017,2017,Feb,Car ,Electricity,"Batteries, generators",Wiring insulation,NULL,BMW,RICHMOND UPON THAMES,Heathfield,E05013781,No
015748-07022017,2017,Feb,Car ,Electricity,"Batteries, generators",Wiring insulation,NULL,Toyota,KENSINGTON AND CHELSEA,BROMPTON & HANS TOWN,E05009389,No
023285-24022017,2017,Feb,Car ,Electricity,"Batteries, generators",Plastic - raw material only,NULL,Toyota,BEXLEY,St. Mary's & St. James,E05011229,No
023815-25022017,2017,Feb,e-cigarette,Electricity,e-Smoking equipment,"Paper, cardboard",NULL,NULL,LAMBETH,Streatham St. Leonard's,E05014115,No
025220-01032017,2017,Mar,Multiple Vehicles ,Electricity,"Batteries, generators",Wiring insulation,NULL,Mercedes,GREENWICH,Greenwich Creekside,E05014080,No
029312-10032017,2017,Mar,Car ,Electricity,"Batteries, generators",Wiring insulation,NULL,Vauxhall/GM,BARNET,West Hendon,E05013649,No
029700-11032017,2017,Mar,Car ,Electricity,"Batteries, generators",Wiring insulation,NULL,Toyota,RICHMOND UPON THAMES,Mortlake & Barnes Common,E05013783,No
031061-14032017,2017,Mar,Other Lithium Battery,Electricity,"Batteries, generators",Plastic - raw material only,NULL,NULL,ENFIELD,Bowes,E05013673,Yes
034637-22032017,2017,Mar,Car ,Electricity,"Batteries, generators",Plastic - raw material only,NULL,Hyundai,BROMLEY,Chislehurst,E05013993,No
034958-23032017,2017,Mar,Car ,Electricity,"Batteries, generators",Wiring insulation,NULL,Mercedes,ISLINGTON,St. Peter's & Canalside,E05013711,No
036316-26032017,2017,Mar,Car ,Electricity,"Batteries, generators",Wiring insulation,NULL,Ford,EALING,Walpole,E05013541,No
037224-28032017,2017,Mar,Van ,Electricity,"Batteries, generators",Wiring insulation,NULL,Ford,REDBRIDGE,Aldborough,E05011234,No
042506-08042017,2017,Apr,Car ,Electricity,"Batteries, generators",Wiring insulation,NULL,Other,HARROW,Centenary,E05013544,No
042946-09042017,2017,Apr,Other road vehicle,Electricity,"Batteries, generators",Wiring insulation,NULL,UNKNOWN,LAMBETH,Waterloo & South Bank,E05014118,No
046476-15042017,2017,Apr,Car ,Electricity,"Batteries, generators",Plastic - raw material only,NULL,BMW,CROYDON,Thornton Heath,E05011486,No
048038-18042017,2017,Apr,Other Lithium Battery,Electricity,Other,Plastic - raw material only,NULL,NULL,WALTHAM FOREST,St. James,E05013899,Yes
049416-21042017,2017,Apr,Other road vehicle,Electricity,"Batteries, generators",Wiring insulation,NULL,Other,HARINGEY,Fortis Green,E05013589,No
050109-22042017,2017,Apr,Car ,Electricity,"Batteries, generators",Plastic - raw material only,NULL,Mercedes,SOUTHWARK,Faraday,E05011102,No
050966-24042017,2017,Apr,Car ,Electricity,"Batteries, generators",Plastic - raw material only,NULL,Mazda,HILLINGDON,South Ruislip,E05013579,No
057214-07052017,2017,May,Car ,Electricity,"Batteries, generators",Plastic - raw material only,NULL,Citroen,EALING,Northolt Mandeville,E05013531,No
058874-11052017,2017,May,Car ,Electricity,"Batteries, generators",Plastic - raw material only,NULL,Ford,BARKING AND DAGENHAM,Alibon,E05014054,No
058995-11052017,2017,May,e-cigarette,Electricity,e-Smoking equipment,Internal Fittings,NULL,NULL,HAMMERSMITH AND FULHAM,Parsons Green & Sandford,E05013745,No
062243-18052017,2017,May,Car ,Electricity,"Batteries, generators",Plastic - raw material only,NULL,Taxi (Black cab),BROMLEY,Bromley Town,E05013991,No
062517-18052017,2017,May,Car ,Electricity,"Batteries, generators",Plastic - raw material only,NULL,Volkswagen,HARINGEY,South Tottenham,E05013599,No
063363-20052017,2017,May,Van ,Electricity,"Batteries, generators",Wiring insulation,NULL,Renault,EALING,North Acton,E05013527,No
064137-21052017,2017,May,Other Lithium Battery,Electricity,"Batteries, generators",Plastic - raw material only,NULL,NULL,SOUTHWARK,Borough & Bankside,E05011095,Yes
065632-25052017,2017,May,Car ,Electricity,"Batteries, generators",Plastic - raw material only,NULL,BMW,HILLINGDON,Heathrow Villages,E05013570,No
068363-29052017,2017,May,Other Lithium Battery,Electricity,"Batteries, generators",Other textiles,NULL,NULL,HOUNSLOW,Chiswick Homefields,E05013610,Yes
070586-02062017,2017,Jun,Car ,Electricity,"Batteries, generators",Wiring insulation,NULL,NULL,NEWHAM,Stratford,E05013924,No
073569-09062017,2017,Jun,Car ,Electricity,"Batteries, generators",Wiring insulation,NULL,Vauxhall/GM,HILLINGDON,Heathrow Villages,E05013570,No
073769-09062017,2017,Jun,e-bike,Electricity,Battery charger,Plastic - raw material only,NULL,Other,WANDSWORTH,Wandsworth Town,E05014028,No
079186-18062017,2017,Jun,Car ,Electricity,"Batteries, generators",Plastic - raw material only,NULL,Mercedes,TOWER HAMLETS,Lansbury,E05009325,No
081138-21062017,2017,Jun,Car ,Electricity,"Batteries, generators",Wiring insulation,NULL,Mercedes,HOUNSLOW,Cranford,E05013612,No
082399-23062017,2017,Jun,Car ,Electricity,"Batteries, generators",Wiring insulation,NULL,Ford,LEWISHAM,Lee Green,E05013726,No
083190-24062017,2017,Jun,Car ,Electricity,"Batteries, generators",Plastic - raw material only,NULL,Other,BARKING AND DAGENHAM,Heath,E05014063,No
084643-26062017,2017,Jun,Lorry/HGV ,Electricity,"Batteries, generators",Plastic - raw material only,NULL,Ford,HILLINGDON,Uxbridge,E05013580,No
085536-27062017,2017,Jun,Other Lithium Battery,Electricity,Other appliance or equipment,Plastic - raw material only,NULL,NULL,TOWER HAMLETS,Canary Wharf,E05009323,Yes
086056-29062017,2017,Jun,e-bike,Electricity,"Batteries, generators",Not known,NULL,UNKNOWN,BRENT,Kilburn,E05013503,No
088162-03072017,2017,Jul,Car ,Electricity,"Batteries, generators",Plastic - raw material only,NULL,Mitsubishi,HARINGEY,West Green,E05013603,No
088362-03072017,2017,Jul,e-cigarette,Electricity,e-Smoking equipment,Other wooden item,NULL,NULL,CAMDEN,Hampstead Town,E05013659,No
089714-05072017,2017,Jul,Other Lithium Battery,Electricity,"Batteries, generators",Other item,NULL,NULL,CAMDEN,Bloomsbury,E05013653,Yes
089838-06072017,2017,Jul,Other Lithium Battery,Electricity,"Batteries, generators",Other paper product,NULL,NULL,WALTHAM FOREST,William Morris,E05013902,Yes
090792-07072017,2017,Jul,Other road vehicle,Electricity,"Batteries, generators",Wiring insulation,NULL,Other,CITY OF LONDON,BASSISHAW,E05009290,No
091177-08072017,2017,Jul,Car ,Electricity,"Batteries, generators",Wiring insulation,NULL,BMW,TOWER HAMLETS,Bow West,E05009320,No
091824-08072017,2017,Jul,Car ,Electricity,"Batteries, generators",Plastic - raw material only,NULL,BMW,NEWHAM,Canning Town South,E05013907,No
092839-10072017,2017,Jul,Lorry/HGV ,Electricity,"Batteries, generators","Paper, cardboard",NULL,Other,CROYDON,Purley Oaks & Riddlesdown,E05011477,No
094023-12072017,2017,Jul,Van ,Electricity,"Batteries, generators",Wiring insulation,NULL,Renault,BROMLEY,Crystal Palace & Anerley,E05013995,No
095012-14072017,2017,Jul,Car ,Electricity,"Batteries, generators",Rubber - raw material only,NULL,Ford,LEWISHAM,Lee Green,E05013726,No
096712-17072017,2017,Jul,Car ,Electricity,"Batteries, generators",Wiring insulation,NULL,Mercedes,WANDSWORTH,East Putney,E05014011,No
096800-17072017,2017,Jul,Car ,Electricity,"Batteries, generators",Plastic - raw material only,NULL,Volkswagen,WESTMINSTER,Maida Vale,E05013800,No
099478-22072017,2017,Jul,Van ,Electricity,"Batteries, generators",Wiring insulation,NULL,Citroen,CAMDEN,Primrose Hill,E05013667,No
104046-01082017,2017,Aug,e-scooter,Electricity,Vehicle electrical fault,Wiring insulation,NULL,NULL,LAMBETH,Gipsy Hill,E05014103,No
106686-07082017,2017,Aug,Car ,Electricity,"Batteries, generators",Wiring insulation,NULL,Vauxhall/GM,BRENT,Welsh Harp,E05013513,No
108649-11082017,2017,Aug,e-bike,Electricity,"Batteries, generators",Plastic - raw material only,NULL,NULL,ENFIELD,Haselbury,E05013682,No
109866-14082017,2017,Aug,Car ,Electricity,"Batteries, generators",Wiring insulation,NULL,Ford,HAVERING,Rainham & Wennington,E05013979,No
109956-14082017,2017,Aug,e-bike,Electricity,"Batteries, generators",Plastic - raw material only,NULL,Honda,SOUTHWARK,Dulwich Wood,E05011101,No
110046-14082017,2017,Aug,Car ,Electricity,"Batteries, generators",Wiring insulation,NULL,Citroen,RICHMOND UPON THAMES,Fulwell & Hampton Hill,E05013776,No
121282-08092017,2017,Sep,Other Lithium Battery,Electricity,"Batteries, generators",Plastic - raw material only,NULL,NULL,EALING,Norwood Green,E05013533,Yes
123967-13092017,2017,Sep,Other road vehicle,Electricity,"Batteries, generators",Other item,NULL,Taxi (Black cab),REDBRIDGE,Churchfields,E05011238,No
124597-15092017,2017,Sep,Car ,Electricity,"Batteries, generators",Plastic - raw material only,NULL,Volkswagen,RICHMOND UPON THAMES,Hampton,E05013778,No
127117-20092017,2017,Sep,Van ,Electricity,"Batteries, generators",Plastic - raw material only,NULL,Mercedes,GREENWICH,Plumstead & Glyndon,E05014087,No
127477-21092017,2017,Sep,Car ,Electricity,"Batteries, generators",Internal Fittings,NULL,Jaguar/Daimler,MERTON,Village,E05013825,No
130519-27092017,2017,Sep,Car ,Electricity,"Batteries, generators",Plastic - raw material only,NULL,Peugeot,WESTMINSTER,St. James's,E05013806,No
131768-30092017,2017,Sep,Motor Home ,Electricity,"Batteries, generators",Internal Fittings,NULL,Volkswagen,KINGSTON UPON THAMES,St. Mark's & Seething Wells,E05013943,No
131802-30092017,2017,Sep,Car ,Electricity,"Batteries, generators",Plastic - raw material only,NULL,NULL,HACKNEY,KING'S PARK,E05009379,No
136726-11102017,2017,Oct,Bus/coach ,Electricity,"Batteries, generators",Plastic - raw material only,NULL,Saab,HAVERING,South Hornchurch,E05013984,No
138522-14102017,2017,Oct,e-bike,Electricity,"Batteries, generators",Plastic - raw material only,NULL,NULL,LEWISHAM,Telegraph Hill,E05013732,No
139680-17102017,2017,Oct,Van ,Electricity,"Batteries, generators",Plastic - raw material only,NULL,Ford,BEXLEY,Crayford,E05011222,No
140039-17102017,2017,Oct,Car ,Electricity,"Batteries, generators",Wiring insulation,NULL,Ford,WESTMINSTER,Knightsbridge & Belgravia,E05013797,No
140143-18102017,2017,Oct,Car ,Electricity,"Batteries, generators",Wiring insulation,NULL,Mercedes,REDBRIDGE,Fairlop,E05011242,No
141915-21102017,2017,Oct,Other Lithium Battery,Not applicable,Candles/Tea lights - Social use,Clothing,NULL,NULL,ENFIELD,Whitewebbs,E05013695,Yes
142660-23102017,2017,Oct,Van ,Electricity,"Batteries, generators",Plastic - raw material only,NULL,Other,LEWISHAM,Ladywell,E05013725,No
147160-01112017,2017,Nov,Car ,Electricity,"Batteries, generators",Plastic - raw material only,NULL,Toyota,TOWER HAMLETS,Shadwell,E05009332,No
149881-06112017,2017,Nov,Car ,Electricity,"Batteries, generators",Wiring insulation,NULL,Vauxhall/GM,SOUTHWARK,Rye Lane,E05011113,No
150507-07112017,2017,Nov,Other Lithium Battery,Electricity,"Batteries, generators",Plastic - raw material only,NULL,NULL,BARKING AND DAGENHAM,Eastbury,E05014060,Yes
150661-08112017,2017,Nov,Lorry/HGV ,Electricity,"Batteries, generators",Rubber - raw material only,NULL,Mercedes,HAVERING,Upminster,E05013986,No
152094-11112017,2017,Nov,Car ,Electricity,"Batteries, generators",Wiring insulation,NULL,Vauxhall/GM,WANDSWORTH,Roehampton,E05014017,No
154802-17112017,2017,Nov,Car ,Electricity,"Batteries, generators",Wiring insulation,NULL,Mercedes,WANDSWORTH,St. Mary's,E05014018,No
155042-17112017,2017,Nov,Car ,Electricity,"Batteries, generators",Wiring insulation,NULL,Toyota,LAMBETH,Streatham St. Leonard's,E05014115,No
155624-19112017,2017,Nov,Other Lithium Battery,Electricity,Battery charger,Other item,NULL,NULL,BEXLEY,Bexleyheath,E05011219,Yes
156694-21112017,2017,Nov,Other Lithium Battery,Electricity,Other computer equipment,Other item,NULL,NULL,CITY OF LONDON,WALBROOK,E05009312,Yes
161315-01122017,2017,Dec,Car ,Electricity,"Batteries, generators",Wiring insulation,NULL,Mercedes,BRENT,Wembley Central,E05013514,No
164021-06122017,2017,Dec,Car ,Electricity,"Batteries, generators",Plastic - raw material only,NULL,Toyota,WESTMINSTER,Regent's Park,E05013805,No
165316-09122017,2017,Dec,Other road vehicle,Electricity,"Batteries, generators",Plastic - raw material only,NULL,Other,HILLINGDON,Heathrow Villages,E05013570,No
167881-15122017,2017,Dec,Car ,Electricity,"Batteries, generators",Wiring insulation,NULL,Ford,BRENT,Kingsbury,E05013504,No
170173-20122017,2017,Dec,e-cigarette,Electricity,e-Smoking equipment,Upholstered furniture,NULL,NULL,KINGSTON UPON THAMES,Green Lane & St. James,E05013934,Yes
174192-29122017,2017,Dec,Car ,Electricity,"Batteries, generators",Wiring insulation,NULL,Vauxhall/GM,LEWISHAM,Hither Green,E05013724,No
001254-03012018,2018,Jan,Car ,Electricity,"Batteries, generators",Wiring insulation,NULL,Toyota,ISLINGTON,Caledonian,E05013700,No
003030-08012018,2018,Jan,Car ,Electricity,"Batteries, generators",Plastic - raw material only,NULL,BMW,CROYDON,Broad Green,E05011465,No
004395-11012018,2018,Jan,Bus/coach ,Electricity,"Batteries, generators",Plastic - raw material only,NULL,Mercedes,REDBRIDGE,Newbury,E05011250,No
006333-16012018,2018,Jan,Car ,Electricity,"Batteries, generators",Plastic - raw material only,NULL,Audi,HOUNSLOW,Heston East,E05013618,No
006940-17012018,2018,Jan,Other Lithium Battery,Electricity,"Batteries, generators",Other item,NULL,NULL,ISLINGTON,Junction,E05013707,Yes
007862-19012018,2018,Jan,Bus/coach ,Electricity,"Batteries, generators",None,NULL,Other,TOWER HAMLETS,Canary Wharf,E05009323,No
008401-20012018,2018,Jan,Car ,Electricity,"Batteries, generators",Wiring insulation,NULL,BMW,ISLINGTON,Hillrise,E05013705,No
010309-25012018,2018,Jan,Car ,Electricity,"Batteries, generators",Wiring insulation,NULL,Mercedes,EALING,Perivale,E05013534,No
014472-04022018,2018,Feb,Multiple Vehicles ,Electricity,"Batteries, generators",Plastic - raw material only,NULL,Honda,HARROW,Kenton East,E05013551,No
015580-06022018,2018,Feb,Other Lithium Battery,Electricity,"Batteries, generators",Other item,NULL,NULL,CROYDON,Thornton Heath,E05011486,Yes
015714-07022018,2018,Feb,Bus/coach ,Electricity,"Batteries, generators",Wiring insulation,NULL,Other,WESTMINSTER,Marylebone,E05013801,No
016300-08022018,2018,Feb,Van ,Electricity,"Batteries, generators",Plastic - raw material only,NULL,Vauxhall/GM,REDBRIDGE,Clementswood,E05011240,No
017438-11022018,2018,Feb,Other Lithium Battery,Electricity,Other,Unspecified internal fitting/part of structure,NULL,NULL,MERTON,Lavender Fields,E05013817,Yes
018207-13022018,2018,Feb,e-bike,Electricity,"Batteries, generators",Wiring insulation,NULL,Other,EALING,Hanger Hill,E05013524,No
019244-15022018,2018,Feb,Motorcycle ,Electricity,"Batteries, generators",Plastic - raw material only,NULL,Other,BEXLEY,St. Mary's & St. James,E05011229,No
022903-24022018,2018,Feb,Car ,Electricity,"Batteries, generators",Wiring insulation,NULL,Saab,GREENWICH,Greenwich Peninsula,E05014082,No
023157-24022018,2018,Feb,Other Lithium Battery,Electricity,Other,Plastic - raw material only,NULL,NULL,BARNET,Finchley Church End,E05013639,Yes
023180-24022018,2018,Feb,Other Lithium Battery,Electricity,"Batteries, generators",Plastic - raw material only,NULL,NULL,LAMBETH,Waterloo & South Bank,E05014118,Yes
030948-10032018,2018,Mar,Car ,Electricity,"Batteries, generators",Rubber - raw material only,NULL,BMW,REDBRIDGE,Seven Kings,E05011251,No
031924-12032018,2018,Mar,Car ,Electricity,"Batteries, generators",Wiring insulation,NULL,Toyota,NEWHAM,Forest Gate South,E05013912,No
032008-13032018,2018,Mar,e-scooter,Other,Other,Plastic - raw material only,NULL,NULL,CROYDON,Purley Oaks & Riddlesdown,E05011477,No
033101-15032018,2018,Mar,Car ,Electricity,"Batteries, generators",Wiring insulation,NULL,Vauxhall/GM,NEWHAM,Maryland,E05013917,No
034143-18032018,2018,Mar,Car ,Electricity,"Batteries, generators",Wiring insulation,NULL,Nissan,BARNET,High Barnet,E05013644,No
041361-05042018,2018,Apr,e-cigarette,Electricity,e-Smoking equipment,Wiring insulation,NULL,NULL,REDBRIDGE,South Woodford,E05011252,No
042488-07042018,2018,Apr,Car ,Electricity,"Batteries, generators",Wiring insulation,NULL,Other,LEWISHAM,Catford South,E05013717,No
043148-08042018,2018,Apr,Minibus ,Electricity,"Batteries, generators",Wiring insulation,NULL,Rover,ENFIELD,Palmers Green,E05013688,No
045269-14042018,2018,Apr,Other road vehicle,Electricity,"Batteries, generators",Plastic - raw material only,NULL,UNKNOWN,BARKING AND DAGENHAM,Eastbrook & Rush Green,E05014059,No
054054-03052018,2018,May,Other Lithium Battery,Not applicable,Gases,Gases,NULL,NULL,WESTMINSTER,Knightsbridge & Belgravia,E05013797,Yes
055194-05052018,2018,May,Other Lithium Battery,Electricity,"Batteries, generators",Wiring insulation,NULL,NULL,KINGSTON UPON THAMES,St. Mark's & Seething Wells,E05013943,Yes
057319-09052018,2018,May,Car ,Electricity,"Batteries, generators",Plastic - raw material only,NULL,Toyota,KENSINGTON AND CHELSEA,ROYAL HOSPITAL,E05009403,No
061717-18052018,2018,May,Car ,Electricity,"Batteries, generators",Plastic - raw material only,NULL,Mercedes,HOUNSLOW,Hounslow West,E05013624,No
062210-19052018,2018,May,Car ,Electricity,"Batteries, generators",Other item,NULL,Mazda,CROYDON,Coulsdon Town,E05011466,No
064486-24052018,2018,May,Car ,Electricity,"Batteries, generators",Wiring insulation,NULL,Ford,GREENWICH,East Greenwich,E05014076,No
068347-30052018,2018,May,Other Lithium Battery,Electricity,"Batteries, generators",Unspecified internal fitting/part of structure,NULL,NULL,WESTMINSTER,Marylebone,E05013801,Yes
070838-04062018,2018,Jun,Van ,Electricity,"Batteries, generators",Household paper/Cardboard,NULL,UNKNOWN,WANDSWORTH,West Putney,E05014030,No
074242-11062018,2018,Jun,Car ,Electricity,"Batteries, generators",Wiring insulation,NULL,Nissan,SUTTON,Sutton North,E05013766,No
078571-20062018,2018,Jun,Multiple Vehicles ,Electricity,"Batteries, generators",Wiring insulation,NULL,BMW,ENFIELD,Arnos Grove,E05013672,No
080032-22062018,2018,Jun,Car ,Electricity,"Batteries, generators",Plastic - raw material only,NULL,Toyota,HAVERING,Rush Green & Crowlands,E05013980,No
091533-08072018,2018,Jul,Car ,Electricity,"Batteries, generators",Plastic - raw material only,NULL,Vauxhall/GM,BEXLEY,St. Mary's & St. James,E05011229,No
092746-09072018,2018,Jul,Van ,Electricity,"Batteries, generators",Wiring insulation,NULL,Ford,RICHMOND UPON THAMES,Hampton North,E05013779,No
093695-11072018,2018,Jul,Car ,Electricity,"Batteries, generators",Roof,NULL,Mercedes,GREENWICH,Charlton Village & Riverside,E05014075,No
094946-13072018,2018,Jul,Car ,Electricity,"Batteries, generators",Plastic - raw material only,NULL,Hyundai,BARNET,East Finchley,E05013636,No
096618-15072018,2018,Jul,Motorcycle ,Electricity,"Batteries, generators",Plastic - raw material only,NULL,Honda,BRENT,Kingsbury,E05013504,No
101035-21072018,2018,Jul,Car ,Electricity,"Batteries, generators",Plastic - raw material only,NULL,Vauxhall/GM,BEXLEY,St. Mary's & St. James,E05011229,No
101696-22072018,2018,Jul,Van ,Electricity,"Batteries, generators",Plastic - raw material only,NULL,Mercedes,WESTMINSTER,West End,E05013808,No
103544-24072018,2018,Jul,Car ,Electricity,"Batteries, generators",Plastic - raw material only,NULL,Vauxhall/GM,BARNET,Whetstone,E05013650,No
103635-24072018,2018,Jul,Other road vehicle,Electricity,"Batteries, generators",Wiring insulation,NULL,UNKNOWN,WANDSWORTH,Roehampton,E05014017,No
104266-25072018,2018,Jul,Car ,Electricity,"Batteries, generators",Internal Fittings,NULL,Jaguar/Daimler,TOWER HAMLETS,Limehouse,E05009326,No
105778-27072018,2018,Jul,Other road vehicle,Electricity,"Batteries, generators",Plastic - raw material only,NULL,Other,HILLINGDON,Heathrow Villages,E05013570,No
112458-05082018,2018,Aug,e-cigarette,Electricity,e-Smoking equipment,Rubbish/Waste material,NULL,NULL,ENFIELD,Brimsdown,E05013674,No
112739-06082018,2018,Aug,Car ,Electricity,"Batteries, generators",Internal Fittings,NULL,Mitsubishi,ISLINGTON,St. Mary's & St. James',E05013710,No
116317-13082018,2018,Aug,Other road vehicle,Electricity,"Batteries, generators",Wiring insulation,NULL,NULL,HILLINGDON,Heathrow Villages,E05013570,No
116613-14082018,2018,Aug,Other Lithium Battery,Other,Other,Plastic - raw material only,NULL,NULL,LEWISHAM,Deptford,E05013719,Yes
119197-19082018,2018,Aug,Other road vehicle,Electricity,"Batteries, generators",Plastic - raw material only,NULL,UNKNOWN,EALING,North Acton,E05013527,No
120553-22082018,2018,Aug,Other Lithium Battery,Other,Other,Other item,NULL,NULL,TOWER HAMLETS,Bow East,E05009319,Yes
121491-24082018,2018,Aug,Other Lithium Battery,Electricity,"Batteries, generators",Other item,NULL,NULL,HACKNEY,STOKE NEWINGTON,E05009385,Yes
123390-28082018,2018,Aug,Car ,Electricity,"Batteries, generators",Wiring insulation,NULL,BMW,REDBRIDGE,Wanstead Village,E05011255,No
123828-29082018,2018,Aug,Car ,Electricity,"Batteries, generators",Plastic - raw material only,NULL,BMW,CROYDON,South Norwood,E05011485,No
124052-30082018,2018,Aug,e-bike,Electricity,"Batteries, generators",Capacitor,NULL,Other,ISLINGTON,Canonbury,E05013701,No
127302-06092018,2018,Sep,Car ,Electricity,"Batteries, generators",Rubber - raw material only,NULL,BMW,LEWISHAM,Lee Green,E05013726,No
129869-11092018,2018,Sep,Car ,Electricity,"Batteries, generators",Wiring insulation,NULL,Ford,NEWHAM,Little Ilford,E05013915,No
135006-22092018,2018,Sep,Other Lithium Battery,Electricity,"Batteries, generators",Internal Fittings,NULL,NULL,LEWISHAM,Lee Green,E05013726,Yes
137042-26092018,2018,Sep,Car ,Electricity,"Batteries, generators",Wiring insulation,NULL,Ford,WANDSWORTH,Thamesfield,E05014022,No
144044-10102018,2018,Oct,Lorry/HGV ,Electricity,"Batteries, generators",External fittings,NULL,NULL,SUTTON,Beddington,E05013754,No
148553-20102018,2018,Oct,Other road vehicle,Electricity,"Batteries, generators",Internal Fittings,NULL,Other,HILLINGDON,Heathrow Villages,E05013570,No
149749-22102018,2018,Oct,Other Lithium Battery,Electricity,Other,Plastic - raw material only,NULL,NULL,BRENT,Harlesden & Kensal Green,E05013501,Yes
153194-29102018,2018,Oct,Car ,Electricity,"Batteries, generators",Plastic - raw material only,NULL,Ford,EALING,Norwood Green,E05013533,No
154731-01112018,2018,Nov,Other Lithium Battery,Electricity,"Batteries, generators",Unspecified internal fitting/part of structure,NULL,NULL,WESTMINSTER,St. James's,E05013806,Yes
154842-01112018,2018,Nov,Car ,Electricity,"Batteries, generators",Internal Fittings,NULL,Volkswagen,BRENT,Brondesbury Park,E05013498,No
159180-10112018,2018,Nov,Car ,Electricity,"Batteries, generators",Wiring insulation,NULL,Toyota,LAMBETH,Clapham Common & Abbeville,E05014099,No
160502-12112018,2018,Nov,Car ,Electricity,"Batteries, generators",Petrol/Oil products,NULL,Vauxhall/GM,GREENWICH,Plumstead & Glyndon,E05014087,No
161870-16112018,2018,Nov,Van ,Electricity,"Batteries, generators",Plastic - raw material only,NULL,Ford,WALTHAM FOREST,Leyton,E05013896,No
166687-26112018,2018,Nov,e-bike,Electricity,Other appliance or equipment,Other item,NULL,NULL,BARKING AND DAGENHAM,Alibon,E05014054,Yes
167248-27112018,2018,Nov,Car ,Electricity,"Batteries, generators",Plastic - raw material only,NULL,Mercedes,BRENT,Roundwood,E05013509,No
167361-27112018,2018,Nov,Car ,Electricity,"Batteries, generators",Plastic - raw material only,NULL,Ford,HILLINGDON,Pinkwell,E05013576,No
170534-05122018,2018,Dec,e-scooter,Electricity,"Batteries, generators",Other furniture,NULL,NULL,HACKNEY,HOXTON WEST,E05009378,No
171347-06122018,2018,Dec,Other road vehicle,Electricity,"Batteries, generators",Printed circuit board,NULL,Other,HILLINGDON,Heathrow Villages,E05013570,No
172898-10122018,2018,Dec,Van ,Electricity,"Batteries, generators",Plastic - raw material only,NULL,Mercedes,KENSINGTON AND CHELSEA,QUEEN'S GATE,E05009401,No
179037-24122018,2018,Dec,Car ,Electricity,"Batteries, generators",Wiring insulation,NULL,Mercedes,NEWHAM,East Ham,E05013909,No
001213-03012019,2019,Jan,Multiple Vehicles ,Electricity,"Batteries, generators",Wiring insulation,NULL,Peugeot,ENFIELD,Arnos Grove,E05013672,No
002985-07012019,2019,Jan,Car ,Electricity,"Batteries, generators",Wiring insulation,NULL,Mercedes,BARNET,Friern Barnet,E05013640,No
003375-08012019,2019,Jan,Car ,Electricity,"Batteries, generators",Internal Fittings,NULL,Porsche,HILLINGDON,Colham & Cowley,E05013566,No
005260-13012019,2019,Jan,e-bike,Electricity,Battery charger,Other item,NULL,NULL,HAMMERSMITH AND FULHAM,Hammersmith Broadway,E05013741,Yes
005877-15012019,2019,Jan,Car ,Electricity,"Batteries, generators",Internal Fittings,NULL,Vauxhall/GM,HOUNSLOW,Cranford,E05013612,No
009461-23012019,2019,Jan,Car ,Electricity,"Batteries, generators",Wiring insulation,NULL,BMW,HILLINGDON,Heathrow Villages,E05013570,No
011346-28012019,2019,Jan,Other Lithium Battery,Electricity,Vacuum cleaner,Other item,NULL,NULL,WESTMINSTER,Pimlico North,E05013802,Yes
012491-30012019,2019,Jan,e-bike,Electricity,"Batteries, generators",Other item,NULL,NULL,BARKING AND DAGENHAM,Village,E05014070,Yes
018799-14022019,2019,Feb,Multiple Vehicles ,Electricity,"Batteries, generators",Wiring insulation,NULL,Vauxhall/GM,HAVERING,St. Andrew's,E05013982,No
019921-17022019,2019,Feb,Lorry/HGV ,Electricity,"Batteries, generators",External fittings,NULL,Other,NEWHAM,Royal Albert,E05013922,No
021376-20022019,2019,Feb,Car ,Electricity,"Batteries, generators",Plastic - raw material only,NULL,Volkswagen,EALING,Norwood Green,E05013533,No
021782-21022019,2019,Feb,Other Lithium Battery,Electricity,"Batteries, generators",Internal Fittings,NULL,NULL,REDBRIDGE,GOODMAYES,E05011244,Yes
031879-16032019,2019,Mar,Other Lithium Battery,Electricity,"Batteries, generators",Plastic - raw material only,NULL,NULL,BEXLEY,BLENDON & PENHILL,E05011221,Yes
